"","MeanDecreaseAccuracy","MeanDecreaseGini"
"roll_belt",52.7643428403016,720.825837409624
"pitch_belt",48.8010180203219,387.952553447734
"yaw_belt",58.8315674835283,512.382623759923
"total_accel_belt",16.1259121971683,119.901460789836
"gyros_belt_x",25.8502039195216,60.0998255008866
"gyros_belt_y",19.4582953530694,70.5748597078861
"gyros_belt_z",30.2283388443774,178.287629340203
"accel_belt_x",24.0939696547213,68.7139749505685
"accel_belt_y",18.0621979987195,74.0814163644104
"accel_belt_z",27.7268707492151,265.063575977982
"magnet_belt_x",31.8402253346313,150.237848562317
"magnet_belt_y",31.2139203609095,246.83762947974
"magnet_belt_z",28.2054895258501,244.27279964733
"roll_arm",34.8732338536202,187.248020308866
"pitch_arm",23.6830354961304,102.899731877036
"yaw_arm",28.3022582832865,150.662476735503
"total_accel_arm",22.7695483978679,66.9137427228694
"gyros_arm_x",26.2743208311916,81.8326967453008
"gyros_arm_y",37.3540596911363,83.792622681596
"gyros_arm_z",21.7699038351598,38.6687083815207
"accel_arm_x",18.3095412160749,145.598796110591
"accel_arm_y",26.1425451766544,95.0299365755631
"accel_arm_z",22.7973958974725,85.0482174450969
"magnet_arm_x",18.8168862568967,151.591179055632
"magnet_arm_y",18.3172338193523,139.457290894586
"magnet_arm_z",28.7509856000188,109.730981968971
"roll_dumbbell",32.6747511827855,252.813452484382
"pitch_dumbbell",19.079952640089,109.18183679614
"yaw_dumbbell",27.5588590532164,157.630989379708
"total_accel_dumbbell",28.7386138854053,155.574685887071
"gyros_dumbbell_x",27.8905251112766,79.3706834292695
"gyros_dumbbell_y",26.2806805306865,153.784478871788
"gyros_dumbbell_z",36.7040642060038,56.3790526637342
"accel_dumbbell_x",26.8772836229848,140.565847390583
"accel_dumbbell_y",34.4654921149757,250.967639495267
"accel_dumbbell_z",34.3067603667937,203.55009798913
"magnet_dumbbell_x",29.9532330763442,294.18776030243
"magnet_dumbbell_y",42.4625523581685,417.011759696655
"magnet_dumbbell_z",51.2336173295528,450.751255529395
"roll_forearm",31.4085189392214,349.116967071049
"pitch_forearm",42.0675697271793,466.370541928768
"yaw_forearm",31.0632456275134,106.516066109457
"total_accel_forearm",25.5640809507781,71.0643937289126
"gyros_forearm_x",28.5859791564244,48.0134104688338
"gyros_forearm_y",25.5075376901,80.1277598749994
"gyros_forearm_z",32.2055314041927,51.6478561426912
"accel_forearm_x",25.687679320884,192.736685015533
"accel_forearm_y",27.7496285257482,90.0199169734246
"accel_forearm_z",27.3575189938633,142.395607849651
"magnet_forearm_x",21.5979802188221,134.601205006528
"magnet_forearm_y",26.2074802795561,141.826237808811
"magnet_forearm_z",36.0809456239977,175.747942579984
